sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.237;4.6855;8.7317;8;45.189;NaN;0 / 0;15;2018-04-04 20:27:29:661;;;;;;
-0.9529;3.3495;9.1997;8;37.713;NaN;0 / 0;516;2018-04-04 20:27:30:162;;;;;;
-0.5088;1.7765;9.5852;8;39.235;NaN;0 / 0;1016;2018-04-04 20:27:30:662;;;;;;
-0.4322;1.573;9.7504;8;46.42;NaN;0 / 0;1516;2018-04-04 20:27:31:162;;;;;;
-0.1915;1.9381;9.6103;8;58.339;NaN;0 / 0;2016;2018-04-04 20:27:31:662;;;;;;
-0.1808;2.0279;9.5972;8;46.217;NaN;0 / 0;2516;2018-04-04 20:27:32:162;;;;;;
-0.1413;2.0315;9.6271;8;50.215;NaN;0 / 0;3015;2018-04-04 20:27:32:661;;;;;;
-0.0371;1.968;9.7659;8;52.728;NaN;0 / 0;3516;2018-04-04 20:27:33:162;;;;;;
-0.0826;1.7825;9.6917;8;37.196;NaN;0 / 0;4016;2018-04-04 20:27:33:662;;;;;;
0.012;1.7119;9.6989;8;44.721;NaN;0 / 0;4516;2018-04-04 20:27:34:162;;;;;;
0.0826;1.968;9.5517;8;52.31;NaN;0 / 0;5016;2018-04-04 20:27:34:662;;;;;;
0.091;2.4541;9.5852;8;52.631;NaN;0 / 0;5515;2018-04-04 20:27:35:161;;;;;;
-0.0084;2.3224;9.5457;8;51.434;NaN;0 / 0;6016;2018-04-04 20:27:35:662;;;;;;
-0.1125;2.0853;9.5337;8;62.984;NaN;0 / 0;6516;2018-04-04 20:27:36:162;;;;;;
-0.34;1.6915;9.6247;8;50.246;NaN;0 / 0;7015;2018-04-04 20:27:36:661;;;;;;
-0.3639;1.3168;9.906;8;48.509;NaN;0 / 0;7516;2018-04-04 20:27:37:162;;;;;;
-0.2346;1.1839;9.8833;8;38.106;NaN;0 / 0;8016;2018-04-04 20:27:37:662;;;;;;
-0.2059;1.2713;9.7839;8;36.995;NaN;0 / 0;8516;2018-04-04 20:27:38:162;;;;;;
-0.3352;1.3862;9.6774;8;60.108;NaN;0 / 0;9016;2018-04-04 20:27:38:662;;;;;;
-0.3699;1.2246;9.6199;8;48.816;NaN;0 / 0;9515;2018-04-04 20:27:39:161;;;;;;
-0.4214;1.0163;9.7863;8;46.05;NaN;0 / 0;10016;2018-04-04 20:27:39:662;;;;;;
-0.4513;0.9373;9.9024;8;42.117;NaN;0 / 0;10516;2018-04-04 20:27:40:162;;;;;;
-0.3627;0.8835;9.985;8;46.062;NaN;0 / 0;11016;2018-04-04 20:27:40:662;;;;;;
-0.3699;0.9816;9.736;8;33.225;NaN;0 / 0;11516;2018-04-04 20:27:41:162;;;;;;
-0.4322;1.0487;9.7229;8;37.247;NaN;0 / 0;12016;2018-04-04 20:27:41:662;;;;;;
-0.4393;1.1408;9.8318;8;40.346;NaN;0 / 0;12516;2018-04-04 20:27:42:162;;;;;;
-0.51;1.1815;9.76;8;45.859;NaN;0 / 0;13015;2018-04-04 20:27:42:661;;;;;;
-0.6309;1.1779;9.7648;8;37.105;NaN;0 / 0;13516;2018-04-04 20:27:43:162;;;;;;
-0.6021;1.002;9.7971;8;53.323;NaN;0 / 0;14016;2018-04-04 20:27:43:662;;;;;;
-0.4836;1.0247;9.8833;8;61.652;NaN;0 / 0;14516;2018-04-04 20:27:44:162;;;;;;
-0.3136;1.136;9.8593;8;64.851;NaN;0 / 0;15015;2018-04-04 20:27:44:661;;;;;;
-0.249;1.1193;9.6881;8;54.481;NaN;0 / 0;15516;2018-04-04 20:27:45:162;;;;;;
-0.3208;1.2079;9.657;8;58.98;NaN;0 / 0;16016;2018-04-04 20:27:45:662;;;;;;
-0.3232;1.2246;9.7624;8;48.247;NaN;0 / 0;16516;2018-04-04 20:27:46:162;;;;;;
-0.2993;1.2378;9.8964;8;52.876;NaN;0 / 0;17016;2018-04-04 20:27:46:662;;;;;;
-0.2514;1.3204;9.8665;8;60.837;NaN;0 / 0;17515;2018-04-04 20:27:47:161;;;;;;
-0.1867;1.221;9.7612;8;52.937;NaN;0 / 0;18016;2018-04-04 20:27:47:662;;;;;;
-0.2358;1.1325;9.7097;8;35.575;NaN;0 / 0;18516;2018-04-04 20:27:48:162;;;;;;
-0.2861;1.1768;9.6534;8;32.861;NaN;0 / 0;19016;2018-04-04 20:27:48:662;;;;;;
-0.2897;1.4449;9.6367;8;41.361;NaN;0 / 0;19516;2018-04-04 20:27:49:162;;;;;;
-0.3041;1.6592;9.7779;8;33.195;NaN;0 / 0;20016;2018-04-04 20:27:49:662;;;;;;
-0.316;1.7909;9.8426;8;43.237;NaN;0 / 0;20516;2018-04-04 20:27:50:162;;;;;;
-0.3903;1.6747;9.8007;8;35.424;NaN;0 / 0;21016;2018-04-04 20:27:50:662;;;;;;
-0.5363;1.5191;9.5804;8;33.065;NaN;0 / 0;21516;2018-04-04 20:27:51:162;;;;;;
-0.6393;1.4772;9.839;8;32.91;NaN;0 / 0;22016;2018-04-04 20:27:51:662;;;;;;
-0.8176;1.5323;9.7181;8;32.963;NaN;0 / 0;22516;2018-04-04 20:27:52:162;;;;;;
