sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0329;0.486;9.5541;0.0;;;;NaN;;;;0 / 0;7;2018-04-04 20:27:22:573
-0.0311;0.3089;9.5164;0.0;;;;NaN;;;;0 / 0;506;2018-04-04 20:27:23:072
0.0215;0.2586;9.6971;0.0;;;;NaN;;;;0 / 0;1007;2018-04-04 20:27:23:573
-0.0114;0.4441;9.8581;0.0;;;;NaN;;;;0 / 0;1506;2018-04-04 20:27:24:072
-0.0557;0.6458;9.5606;0.0;;;;NaN;;;;0 / 0;2007;2018-04-04 20:27:24:573
-0.0443;0.7763;9.8599;0.0;;;;NaN;;;;0 / 0;2507;2018-04-04 20:27:25:073
6.0E-4;0.6165;9.9012;0.0;;;;NaN;;;;0 / 0;3008;2018-04-04 20:27:25:574
0.073;0.2143;9.5463;0.0;;;;NaN;;;;0 / 0;3506;2018-04-04 20:27:26:072
0.1077;0.0443;9.5319;0.0;;;;NaN;;;;0 / 0;4006;2018-04-04 20:27:26:572
0.012;0.1389;9.7109;0.0;;;;NaN;;;;0 / 0;4506;2018-04-04 20:27:27:072
-0.0521;0.4399;9.7252;0.0;;;;NaN;;;;0 / 0;5006;2018-04-04 20:27:27:572
0.0048;0.6901;9.5804;0.0;;;;NaN;;;;0 / 0;5506;2018-04-04 20:27:28:072
0.0377;0.6746;9.7121;0.0;;;;NaN;;;;0 / 0;6006;2018-04-04 20:27:28:572
-0.018;0.4322;9.7905;0.0;;;;NaN;;;;0 / 0;6506;2018-04-04 20:27:29:072
-0.0359;0.2891;9.7013;0.0;;;;NaN;;;;0 / 0;7006;2018-04-04 20:27:29:572
-0.0227;0.3454;9.5864;0.0;;;;NaN;;;;0 / 0;7506;2018-04-04 20:27:30:072
-0.0126;0.419;9.5816;0.0;;;;NaN;;;;0 / 0;8006;2018-04-04 20:27:30:572
0.0078;0.5866;9.6869;0.0;;;;NaN;;;;0 / 0;8507;2018-04-04 20:27:31:073
-0.0042;0.6853;9.7151;0.0;;;;NaN;;;;0 / 0;9006;2018-04-04 20:27:31:572
0.015;0.6387;9.7229;0.0;;;;NaN;;;;0 / 0;9507;2018-04-04 20:27:32:073
-0.003;0.4501;9.7606;0.0;;;;NaN;;;;0 / 0;10006;2018-04-04 20:27:32:572
0.003;0.2789;9.6121;0.0;;;;NaN;;;;0 / 0;10506;2018-04-04 20:27:33:072
-0.0221;0.3406;9.4846;0.0;;;;NaN;;;;0 / 0;11006;2018-04-04 20:27:33:572
-0.0341;0.51;9.7157;0.0;;;;NaN;;;;0 / 0;11506;2018-04-04 20:27:34:072
